Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Jan-24,512,12:38,Monday,ST CLAIR AND BATHURST,Collision - TTC Involved,6,12,W,8703
1-Jan-24,501,13:15,Monday,QUEEN AND UNIVERSITY,Operations,6,12,N,8330
1-Jan-24,501,14:26,Monday,YORK AND WELLINGTON,Security,5,15,N,4572
1-Jan-24,501,15:27,Monday,QUEEN AND SACKVILLE,Emergency Services,20,30,W,4540
1-Jan-24,501,15:48,Monday,WOLSELEY LOOP,Mechanical,6,12,W,8326
1-Jan-24,501,17:22,Monday,QUEEN AND JOHN,Mechanical,6,12,W,8382
1-Jan-24,505,17:47,Monday,DUNDAS AND HOWARD PARK,Cleaning - Unsanitary,10,20,N,4449
1-Jan-24,505,17:53,Monday,LANSDOWNE LOOP,Emergency Services,10,20,,4449
1-Jan-24,504,18:26,Monday,SUNNYSIDE LOOP,Security,10,20,,4522
1-Jan-24,510,18:41,Monday,QUEENS QUAY AND LOWER,Operations,3,7,W,4550
1-Jan-24,504,18:45,Monday,BROADVIEW AND WOLFREY,Mechanical,9,18,W,8753
1-Jan-24,509,20:17,Monday,QUEENS QUAY LOOP - 21,Security,10,20,W,4499
1-Jan-24,510,20:58,Monday,UNION STREETCAR TUNNEL,Security,12,22,,4559
1-Jan-24,509,21:09,Monday,UNION STATION,Diversion,7,17,,0
1-Jan-24,505,21:14,Monday,DUNDAS AND STERLING,Diversion,18,28,W,4419
1-Jan-24,506,21:22,Monday,DUNDAS AND STERLING,Diversion,8,18,,0
1-Jan-24,506,22:26,Monday,COLLEGE AND BAY,Cleaning - Unsanitary,10,20,E,4423
1-Jan-24,507,22:41,Monday,QUEEN AND DOWLING,Diversion,31,41,E,4446
1-Jan-24,504,23:16,Monday,THE QUEENSWAY AND KING,Held By,7,17,W,4465
1-Jan-24,509,00:08,Monday,UNION STATION,Emergency Services,0,0,,4505
1-Jan-24,510,00:10,Monday,SPADINA AND BREMNER,Cleaning - Unsanitary,10,20,N,4480
1-Jan-24,512,00:47,Monday,LANSDOWNE AND ST CLAIR,General Delay,5,15,E,8693
1-Jan-24,501,00:49,Monday,RICHMOND AND CHURCH,Emergency Services,10,20,W,4403
1-Jan-24,509,01:42,Monday,EXHIBITION LOOP,Emergency Services,10,20,E,4505
1-Jan-24,504,01:48,Monday,DUNDAS AND BLOOR,Operations,8,18,E,4532
1-Jan-24,504,01:50,Monday,KINGSTON RD LOOP,Security,17,0,E,4570
1-Jan-24,509,01:59,Monday,KINGSTON RD LOOP,Security,17,0,E,4567
2-Jan-24,510,03:09,Tuesday,QUEENS QUAY AND BAY,Mechanical,26,41,E,4440
2-Jan-24,501,04:51,Tuesday,RONCESVALLES YARD,General Delay,4,12,W,4594
2-Jan-24,501,05:22,Tuesday,RONCESVALLES YARD,Operations,8,16,,0
2-Jan-24,306,05:33,Tuesday,KINGSTON LOOP,Security,0,0,,4582
2-Jan-24,504,05:34,Tuesday,KING AND CLOSE,Collision - TTC Involved,10,20,E,4404
2-Jan-24,507,05:43,Tuesday,LONG BRANCH LOOP,Mechanical,10,20,E,4530
2-Jan-24,503,06:07,Tuesday,RUSSELL DIVISION,Operations,9,18,N,4512
2-Jan-24,510,06:43,Tuesday,LESLIE CARHOUSE,Operations,10,20,,4455
2-Jan-24,504,06:48,Tuesday,KING AND QUEEN,Security,10,20,W,4415
2-Jan-24,506,07:17,Tuesday,GERRARD AND BROADVIEW,General Delay,10,20,E,4577
2-Jan-24,507,07:53,Tuesday,LESLIE DIVISION,Operations,10,20,,4474
2-Jan-24,510,08:34,Tuesday,QUEENS QUAY AND REESE,General Delay,10,20,,4537
2-Jan-24,510,08:39,Tuesday,SPADINA AND QUEEN'S QU,Emergency Services,10,20,,4497
2-Jan-24,504,09:48,Tuesday,KING AND SHAW.,Investigation,0,0,E,4404
2-Jan-24,505,12:31,Tuesday,QUEEN AND KINGSTON,Emergency Services,10,20,E,4427
2-Jan-24,503,12:46,Tuesday,QUEEN AND KINGSTON,Security,7,15,E,4547
2-Jan-24,505,12:55,Tuesday,QUEEN AND COXWELL,Cleaning - Unsanitary,10,20,W,4405
2-Jan-24,503,13:16,Tuesday,KING AND SUMAC,Rail/Switches,0,0,E,4523
2-Jan-24,501,13:31,Tuesday,QUEEN AND SPADINA,Operations,3,8,E,8368
2-Jan-24,510,13:59,Tuesday,969 QUEEN ST E,Operations,10,20,N,4585
2-Jan-24,512,14:40,Tuesday,LANSDOWNE AND ST. CLAI,Mechanical,6,12,W,8794
2-Jan-24,501,14:43,Tuesday,BROADVIEW AND MOUNTSTE,Operations,6,12,E,7010
2-Jan-24,501,15:30,Tuesday,CHURCH AND KING,Operations,28,38,S,4407
2-Jan-24,505,16:39,Tuesday,DUNDAS WEST STATION,Operations,10,20,E,4569
2-Jan-24,512,16:49,Tuesday,QUEENSWAY GARAGE,Mechanical,6,12,E,8036
2-Jan-24,510,18:23,Tuesday,QUEENS QUAY LOOP,Security,10,20,S,4591
2-Jan-24,509,18:33,Tuesday,BATHURST AND QUEENS QU,General Delay,0,0,W,4598
2-Jan-24,506,20:07,Tuesday,HOWARD PARK AND RONCES,Cleaning - Unsanitary,10,20,W,4535
2-Jan-24,504,20:23,Tuesday,DISTRILLERY LOOP,Emergency Services,10,20,,4459
2-Jan-24,501,20:42,Tuesday,QUEEN AND JOHN,Cleaning - Unsanitary,10,20,E,8347
2-Jan-24,510,20:53,Tuesday,SPADINA STATION,Security,10,20,,4494
2-Jan-24,504,00:07,Tuesday,KING AND SPADINA,Utilized Off Route,10,20,W,4422
2-Jan-24,504,00:37,Tuesday,KING AND QUEEN,Utilized Off Route,10,20,W,4410
2-Jan-24,504,00:40,Tuesday,KING AND CHARLOTTE,Held By,20,30,E,4522
2-Jan-24,504,00:40,Tuesday,KING AND CHARLOTTE STR,Diversion,20,30,E,4501
2-Jan-24,503,00:43,Tuesday,KING AND PETER ST,Diversion,20,30,,4488
2-Jan-24,505,00:57,Tuesday,LANSDOWNE LOOP,Emergency Services,0,0,,4569
2-Jan-24,504,01:06,Tuesday,QUEEN AND LESLIE,Emergency Services,0,0,E,4401
2-Jan-24,501,01:16,Tuesday,QUEEN AND LESLIE,Diversion,20,30,E,0
2-Jan-24,503,01:18,Tuesday,QUEEN AND LESLIE,Diversion,20,30,E,0
2-Jan-24,505,01:28,Tuesday,LANSDOWNE LOOP,Emergency Services,10,20,,4418
2-Jan-24,505,01:43,Tuesday,QUEEN AND EASTERN,Security,0,0,,4514
3-Jan-24,504,02:02,Wednesday,DUNDAS WEST STATION,Security,10,20,W,4596
3-Jan-24,301,02:49,Wednesday,LONG BRANCH LOOP,Held By,17,34,,8639
3-Jan-24,504,04:55,Wednesday,CHURCH AND ADELAIDE,Mechanical,7,15,E,4584
3-Jan-24,501,05:32,Wednesday,NEVILLE PARK LOOP,Security,0,0,,4580
3-Jan-24,501,05:34,Wednesday,BATHURST AND BANNOCKBU,Mechanical,7,15,S,8365
3-Jan-24,512,05:53,Wednesday,ST CLAIR STATION,Operations,6,12,W,8839
3-Jan-24,510,06:32,Wednesday,FERRY DOCKS STATION,Security,7,17,,4435
3-Jan-24,509,06:35,Wednesday,QUEENS QUAY AND REES,Diversion,10,19,E,4561
3-Jan-24,501,06:38,Wednesday,MCCAUL AND QUEEN,Security,15,23,E,4496
3-Jan-24,509,06:48,Wednesday,QUEENS QUAY STATION,General Delay,0,0,E,4561
3-Jan-24,506,07:24,Wednesday,RONCESVALLES YARD,Operations,7,14,,4400
3-Jan-24,501,07:48,Wednesday,QUEEN AND BEECH,Operations,7,15,W,4599
3-Jan-24,504,07:52,Wednesday,BERKERLEY AND KING,Emergency Services,6,12,N,8687
3-Jan-24,505,09:15,Wednesday,QUEEN AND KINGSTON,Cleaning - Unsanitary,10,20,N,4549
3-Jan-24,503,10:16,Wednesday,QUEEN AND WOODFIELD,General Delay,10,20,W,4521
3-Jan-24,501,10:22,Wednesday,QUEEN AND WOODFIELD,Operations,8,16,W,4463
3-Jan-24,504,11:23,Wednesday,KING AND SHERBOURNE,Operations,6,12,E,4602
3-Jan-24,501,11:49,Wednesday,MUNRO AND GERRARD,Cleaning - Unsanitary,8,16,W,8360
3-Jan-24,503,11:55,Wednesday,CHARLOTTE LOOP,Security,23,33,,4546
3-Jan-24,506,12:01,Wednesday,MAIN STREET STATION,Cleaning - Unsanitary,10,20,S,4500
3-Jan-24,512,12:14,Wednesday,ST CLAIR AND ALVIN,Emergency Services,5,10,W,3365
3-Jan-24,506,13:16,Wednesday,BROADVIEW AND DUNDAS,Rail/Switches,0,0,N,4439
3-Jan-24,501,13:31,Wednesday,361 BROADVIEW AVE,Operations,3,8,E,3528
3-Jan-24,504,14:08,Wednesday,RONCESVALLES AND MARMA,Investigation,10,20,N,4505
3-Jan-24,504,14:12,Wednesday,CASTLE FRANK STATION,Investigation,6,12,,8826
3-Jan-24,504,14:55,Wednesday,KING AND QUEEN,Emergency Services,10,20,W,4572
3-Jan-24,505,15:06,Wednesday,DUNDAS AND OSSINGTON,Cleaning - Unsanitary,10,20,E,4569
3-Jan-24,504,16:47,Wednesday,DUNDAS WEST STATION,Cleaning - Unsanitary,10,20,W,4423
3-Jan-24,506,16:55,Wednesday,HOWARD AND RONCEVALLES,Mechanical,10,20,N,4428
3-Jan-24,507,16:59,Wednesday,LAKESHORE AND TWENTY S,Diversion,123,133,W,4451
3-Jan-24,508,17:07,Wednesday,LAKESHORE AND KIPLING,Diversion,109,119,,4485
3-Jan-24,512,17:41,Wednesday,ST. CLAIR STATION,Operations,6,12,W,8776
3-Jan-24,503,17:42,Wednesday,QUEEN AND JONES,Mechanical,10,20,E,4523
3-Jan-24,501,17:44,Wednesday,RONCESVALLES AND QUEEN,Mechanical,10,20,S,4601
3-Jan-24,501,17:46,Wednesday,BROADVIEW AND QUEEN,Utilized Off Route,4,0,E,7007
3-Jan-24,504,18:16,Wednesday,HOWARD PARK AND RONCES,Cleaning - Unsanitary,10,20,S,4403
3-Jan-24,503,18:41,Wednesday,CHARLOTTE LOOP,Operations,10,20,W,4462
3-Jan-24,511,18:58,Wednesday,BATHURST STAION,Operations,40,50,N,4449
3-Jan-24,501,19:02,Wednesday,BATHURST AND WILLIS,Utilized Off Route,5,10,W,3528
3-Jan-24,504,19:35,Wednesday,BATHURST AND KING,Operations,10,20,W,4444
3-Jan-24,503,20:41,Wednesday,QUEEN AND CARLAW,Security,10,20,W,4511
3-Jan-24,507,20:52,Wednesday,LAKESHORE AND LEGION,Diversion,10,20,,4446
3-Jan-24,501,21:00,Wednesday,358 QUEEN ST E,Security,10,20,W,4406
3-Jan-24,504,21:18,Wednesday,DISTILLERY LOOP,Cleaning - Unsanitary,10,20,W,4538
3-Jan-24,505,21:47,Wednesday,KINGSTON ROAD LOOP,Security,10,20,,4443
3-Jan-24,501,21:51,Wednesday,KINGSTON LOOP,Security,10,20,,4488
3-Jan-24,504,23:23,Wednesday,KING AND SUMACH,Operations,10,20,W,4590
3-Jan-24,504,00:11,Wednesday,KING AND UNIVERSITY,Held By,7,17,W,4516
3-Jan-24,509,00:33,Wednesday,QUEENS QUAY AND BATHUR,Mechanical,10,20,E,4486
3-Jan-24,501,01:08,Wednesday,BROADVIEW AND QUEEN,Utilized Off Route,12,24,W,8343
3-Jan-24,511,01:42,Wednesday,BATHURST AND HERRICK,Security,0,0,N,4457
3-Jan-24,501,01:50,Wednesday,KINGSTON RD LOOP,Security,0,0,W,4488
4-Jan-24,506,02:43,Thursday,DUNDAS AND RONCESVALLE,Diversion,46,66,W,4439
4-Jan-24,600,03:27,Thursday,NEVILLE LOOP,Emergency Services,30,55,,8639
4-Jan-24,504,04:30,Thursday,BROADVIEW STATION,Operations,6,12,,0
4-Jan-24,505,05:54,Thursday,DUNDAS AND OSSINGTON,Mechanical,10,20,E,4586
4-Jan-24,512,07:21,Thursday,GUNNS RD AND ST.CLAIR,Collision - TTC Involved,3,6,S,3328
4-Jan-24,501,07:46,Thursday,CHURCH AND LOMBARD,Cleaning - Unsanitary,5,10,W,8177
4-Jan-24,501,08:22,Thursday,RICHMOND AND VICTORIA,Security,0,0,W,7058
4-Jan-24,512,08:39,Thursday,ST CLAIR AND AVENUE RD,Collision - TTC Involved,3,6,W,8157
4-Jan-24,504,09:08,Thursday,KING AND STRACHAN AVE,Security,0,0,W,4491
4-Jan-24,504,09:11,Thursday,KING AND BATHURST,Mechanical,10,20,W,4532
4-Jan-24,512,09:25,Thursday,ST CLAIR AND PRESCOTT,Collision - TTC Involved,3,6,W,8755
4-Jan-24,501,09:48,Thursday,GERRARD AND MUNRO,Security,8,16,W,8327
4-Jan-24,501,09:56,Thursday,WILSON DIVISION,Operations,5,10,S,8304
4-Jan-24,501,10:07,Thursday,GERRARD AND MUNRO,Security,8,16,W,8173
4-Jan-24,501,11:27,Thursday,QUEEN AND JARVIS,Held By,8,16,W,4443
4-Jan-24,509,11:49,Thursday,CNE LOOP,Security,10,19,,4580
4-Jan-24,501,12:37,Thursday,WOLOSELEY LOOP,Operations,20,28,W,7107
4-Jan-24,512,12:56,Thursday,ST. CLAIR STATION,General Delay,5,10,W,8685
4-Jan-24,506,13:02,Thursday,COLLEGE AND LANSDOWNE,Mechanical,10,20,N,4520
4-Jan-24,,13:16,Thursday,MAIN STREET STATION,Mechanical,10,20,W,0
4-Jan-24,505,14:36,Thursday,KINGSTON LOOP,Emergency Services,0,0,,4539
4-Jan-24,506,14:47,Thursday,MAIN STREET STATION,Diversion,22,32,W,4483
4-Jan-24,507,15:09,Thursday,LAKE SHORE BLVD AND TE,Diversion,6,16,E,4579
4-Jan-24,509,16:22,Thursday,QUEENS QUAY AND DAN LE,General Delay,0,0,W,4580
4-Jan-24,501,16:44,Thursday,MCCAUL LOOP,Diversion,10,20,,4428
4-Jan-24,505,17:19,Thursday,DUNDAS AND PARLIAMENT,Operations,10,20,E,4494
4-Jan-24,505,17:32,Thursday,DUNDAS AND PARLIAMENT,Security,15,25,E,4448
4-Jan-24,509,18:20,Thursday,UNION STATION,General Delay,0,0,E,4548
4-Jan-24,505,18:39,Thursday,BROADVIEW AND GERRARD,Operations,10,20,E,4571
4-Jan-24,501,18:41,Thursday,BATHURST AND WOLSELEY,Security,5,10,N,7107
4-Jan-24,510,20:22,Thursday,SPADINA AND BREMER,Security,9,19,N,4540
4-Jan-24,510,21:21,Thursday,SPADINA STATION,Held By,10,20,,4482
4-Jan-24,505,21:30,Thursday,RONCESVALLES AND GRAFT,Operations,10,20,N,4564
4-Jan-24,504,22:13,Thursday,KING AND JAMESON,Diversion,34,44,E,4556
4-Jan-24,504,22:17,Thursday,KING AND JAMESON,Held By,30,40,E,4477
4-Jan-24,511,22:20,Thursday,CNE EASTERN ENTRANCE,Investigation,10,20,S,4524
4-Jan-24,501,22:20,Thursday,KING AND DUNN,Utilized Off Route,10,20,E,7029
4-Jan-24,504,00:29,Thursday,BROADVIEW AND DANFORTH,Utilized Off Route,10,20,N,8681
4-Jan-24,501,00:44,Thursday,YORK AND KING,Security,17,24,N,4558
4-Jan-24,506,00:47,Thursday,HIGH PARK LOOP,Cleaning - Unsanitary,10,20,,4487
5-Jan-24,504,03:19,Friday,KING AND CHARLOTTE ST,Emergency Services,15,25,E,4493
5-Jan-24,301,03:56,Friday,QUEEN AND NEVILLE PARK,Emergency Services,17,25,E,8775
5-Jan-24,501,04:28,Friday,WILSON DIVISION,Operations,5,10,E,8205
5-Jan-24,301,04:42,Friday,LONG BRANCH LOOP,Security,30,60,,8800
5-Jan-24,505,05:00,Friday,KINGSTON LOOP,Operations,15,33,,4442
5-Jan-24,505,06:11,Friday,KINGSTON LOOP,Emergency Services,10,20,,4600
5-Jan-24,501,07:01,Friday,YORK AND KING,Security,6,14,N,4499
5-Jan-24,501,07:18,Friday,KING AND CHURC,Operations,8,16,E,4486
5-Jan-24,503,07:25,Friday,CHURCH AND KING,Diversion,20,30,,4463
5-Jan-24,504,07:26,Friday,CHURCH AND KING,Diversion,22,32,E,4410
5-Jan-24,501,07:57,Friday,GERRARD AND MUNROE,Mechanical,9,18,S,7104
5-Jan-24,504,08:49,Friday,QUEEN AND RONCESVALLES,Mechanical,8,16,W,4440
5-Jan-24,509,08:49,Friday,FLEET AND BATHURST,General Delay,0,0,W,4515
5-Jan-24,503,09:03,Friday,KING AND SIMCOE,Security,12,22,E,4523
5-Jan-24,505,09:10,Friday,RACETRACK LOOP,Cleaning - Unsanitary,10,20,W,4426
5-Jan-24,509,09:58,Friday,FLEET AND BATHURST,Mechanical,10,19,E,4515
5-Jan-24,505,10:22,Friday,DUNDAS AND SHERBOURNE,Cleaning - Unsanitary,10,20,E,4566
5-Jan-24,512,10:50,Friday,ST CLAIR AND BATHURST,Security,5,10,E,8808
5-Jan-24,501,11:15,Friday,QUEEN AND JARVIS,Diversion,10,20,E,4411
5-Jan-24,506,11:56,Friday,COXWELL AND LOWER GERR,Diversion,9,18,E,4503
5-Jan-24,506,12:14,Friday,GERRARD AND PARLIAMENT,Operations,18,27,W,4428
5-Jan-24,510,12:59,Friday,QUEENS QUAY LOOP,Cleaning - Unsanitary,10,20,,4553
5-Jan-24,501,13:23,Friday,HUMBER LOOP,Cleaning - Unsanitary,10,20,S,4492
5-Jan-24,501,14:01,Friday,QUEEN AN COXWELL,Operations,10,20,W,4415
5-Jan-24,503,14:10,Friday,QUEEN AND COXWELL,Diversion,10,20,,0
5-Jan-24,506,14:14,Friday,COXWELL AND LOWER GERR,Diversion,9,18,E,4428
5-Jan-24,505,14:16,Friday,QUEEN AND COXWELL,Diversion,18,28,E,0
5-Jan-24,505,14:44,Friday,COXWELL AND LOWER GERR,General Delay,0,0,W,4539
5-Jan-24,501,15:41,Friday,PRIVATE-WOLSELEY LOOP,Mechanical,5,10,E,8173
5-Jan-24,509,15:44,Friday,QUEENS QUAY AND YORK,General Delay,0,0,W,4447
5-Jan-24,503,15:45,Friday,KINGSTON AND LEE,Held By,0,0,W,4547
5-Jan-24,503,16:55,Friday,QUEEN AND LOGAN,Diversion,10,20,W,4578
5-Jan-24,501,16:59,Friday,QUEEN AND LOGAN,Diversion,10,20,W,4437
5-Jan-24,510,17:33,Friday,SPADINA AND QUEEN,General Delay,9,19,N,4604
5-Jan-24,510,17:44,Friday,SPADINA AND QUEENSWAY,General Delay,10,20,W,4522
5-Jan-24,506,17:57,Friday,MAIN STREET STATION,Cleaning - Unsanitary,10,20,,4503
5-Jan-24,506,18:01,Friday,MAIN STREET STATION,Cleaning - Unsanitary,10,20,W,4503
5-Jan-24,505,18:06,Friday,KING AND YORK,Operations,10,20,E,4546
5-Jan-24,512,18:08,Friday,ST CLAIR AND RUSSELL H,Emergency Services,3,7,W,8728
5-Jan-24,505,19:24,Friday,DUNDAS WEST STATION,Operations,25,35,E,4482
5-Jan-24,510,19:28,Friday,SPADINA AND KING,Operations,10,20,N,4554
5-Jan-24,511,20:15,Friday,EXHIBITION LOOP,Cleaning - Unsanitary,10,20,N,4501
5-Jan-24,501,20:32,Friday,591 QUEEN ST W,Mechanical,10,20,E,8205
5-Jan-24,501,20:40,Friday,MCCAUL AND RENFREW,Diversion,52,62,E,4496
5-Jan-24,501,20:40,Friday,MCCAUL AND RENFREW,Diversion,22,23,E,4498
5-Jan-24,505,20:55,Friday,CHURCH AND DUNDAS,Security,9,19,S,4497
5-Jan-24,506,21:00,Friday,LESLIE CARHOUSE,Mechanical,10,20,,4594
5-Jan-24,504,21:09,Friday,KING AND DUFFERIN,General Delay,15,25,W,4417
5-Jan-24,510,21:37,Friday,SPADINA AND QUEEN,General Delay,15,25,S,4604
5-Jan-24,504,22:00,Friday,KING AND CHURCH,Cleaning - Unsanitary,5,10,W,4523
5-Jan-24,504,22:25,Friday,RONCESVALLES AND QUEEN,Diversion,13,23,N,4439
5-Jan-24,504,00:50,Friday,KING AND SUMACH,Operations,10,20,E,4528
5-Jan-24,,01:10,Friday,BATHURST AND COLLEGE,Investigation,0,0,S,4558
5-Jan-24,505,01:46,Friday,KINGSTON ROAD LOOP,Security,0,0,,4600
6-Jan-24,504,03:18,Saturday,KINGSTON LOOP,Security,0,0,E,4439
6-Jan-24,501,04:01,Saturday,WILSON AND TRANSIT,Mechanical,10,20,W,8302
6-Jan-24,301,04:32,Saturday,QUEEN AND LOWER COXWEL,Emergency Services,30,60,E,3349
6-Jan-24,501,04:51,Saturday,MUNRO AND GERRARD,Operations,10,20,,8217
6-Jan-24,501,05:23,Saturday,LAWRENCE AND YONGE,Mechanical,9,18,E,8185
6-Jan-24,501,06:24,Saturday,GERRARD AND MUNRO,Emergency Services,9,18,W,8199
6-Jan-24,510,07:29,Saturday,SPADINA STATION,Security,0,0,,4420
6-Jan-24,507,08:41,Saturday,HUMBER LOOP,Cleaning - Unsanitary,10,20,W,4509
6-Jan-24,501,08:41,Saturday,SUNNYSIDE LOOP,Mechanical,10,20,W,4520
6-Jan-24,510,09:20,Saturday,LESLIE AND LAKE SHORE,Mechanical,8,16,S,4491
6-Jan-24,504,10:01,Saturday,DISTILLERY LOOP,Cleaning - Unsanitary,5,10,W,4580
6-Jan-24,501,10:53,Saturday,WILSON GARAGE,Operations,9,18,W,8201
6-Jan-24,512,11:16,Saturday,GUNN'S LOOP,Operations,6,12,,8081
6-Jan-24,501,11:52,Saturday,SHAW AND QUEEN,Emergency Services,9,18,S,4507
6-Jan-24,504,12:00,Saturday,RONCESVALLES AND QUEEN,Operations,10,20,E,4600
6-Jan-24,505,12:39,Saturday,GERRARD AND ALTON,Mechanical,10,20,E,4452
6-Jan-24,506,12:45,Saturday,GERRARD AND ALTON,Diversion,10,0,E,4530
6-Jan-24,501,12:59,Saturday,QUEEN AND CHURCH,Operations,12,24,E,4406
6-Jan-24,511,13:00,Saturday,BATHURST STATION,Operations,8,16,S,4514
6-Jan-24,510,13:54,Saturday,SPADINA STATION,Diversion,18,28,N,4432
6-Jan-24,511,14:03,Saturday,BATHURST STATION,Operations,8,16,S,4443
6-Jan-24,501,14:55,Saturday,QUEEN AND SPADINA,Mechanical,9,18,W,8217
6-Jan-24,,15:07,Saturday,YORK AND KING,Operations,0,0,N,4436
6-Jan-24,501,15:07,Saturday,YORK AND KING,Operations,10,20,N,4439
6-Jan-24,501,15:10,Saturday,QUEEN AND KINGSTON,Operations,10,20,E,4429
6-Jan-24,501,15:53,Saturday,RONCESVALLES AND QUEEN,Cleaning - Unsanitary,10,20,W,4504
6-Jan-24,510,15:58,Saturday,SPADINA AND DUNDAS,Operations,8,16,N,4450
6-Jan-24,505,17:09,Saturday,LOWER GERRARD AND COXW,Mechanical,10,20,W,4570
6-Jan-24,501,17:15,Saturday,GERRARD AND MUNRO,Operations,5,10,W,7105
6-Jan-24,501,17:37,Saturday,KING AND YORK,Cleaning - Unsanitary,10,20,E,4589
6-Jan-24,511,17:44,Saturday,EXHIBITION LOOP,Operations,10,20,S,4537
6-Jan-24,506,17:45,Saturday,DUNDAS AND SORAUREN,Emergency Services,46,56,W,4490
6-Jan-24,505,17:57,Saturday,DUNDAS AND LANSDOWNE,Held By,10,20,W,4417
6-Jan-24,504,18:18,Saturday,KING AND YONGE,Operations,10,20,W,4549
6-Jan-24,510,18:40,Saturday,SPADINA STATION,Cleaning - Unsanitary,10,20,S,4571
6-Jan-24,505,19:29,Saturday,DUNDAS WEST STATION,Mechanical,10,20,W,4449
6-Jan-24,501,19:57,Saturday,QUEEN AND JOHN,Mechanical,5,10,E,8321
6-Jan-24,501,20:12,Saturday,QUEEN AND MCCAUL,Diversion,10,20,E,8201
6-Jan-24,504,21:30,Saturday,KING AND RONCESVALLES,Utilized Off Route,10,20,,4480
6-Jan-24,505,22:00,Saturday,DUNDAS AND CHURCH,Operations,10,20,W,4517
6-Jan-24,510,22:34,Saturday,KING AND FREDERICK,Collision - TTC Involved,0,0,E,4473
6-Jan-24,503,22:44,Saturday,KING AND SHERBOURNE,Diversion,63,73,E,4578
6-Jan-24,504,22:46,Saturday,KING AND FREDERICK,Held By,59,69,W,4425
6-Jan-24,504,22:48,Saturday,KING AND FREDERICK,Held By,65,75,E,4459
6-Jan-24,504,22:50,Saturday,KING AND SHERBOURNE,Held By,44,54,W,4438
6-Jan-24,505,23:00,Saturday,DUNDAS AND OSSINGTON,Operations,10,20,E,4566
6-Jan-24,504,23:31,Saturday,KING AND DUNN,Operations,10,20,E,4528
