,Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Code Description
140,2024/01/03,13:06,Wednesday,BAY STATION,SUO,0,0,,BD,0,Passenger Other
141,2024/01/03,13:20,Wednesday,FINCH STATION,SUAP,0,0,,YU,0,Assault / Patron Involved
142,2024/01/03,13:30,Wednesday,YONGE BD STATION,MUSAN,9,13,W,BD,5310,Unsanitary Vehicle
143,2024/01/03,13:36,Wednesday,UNION STATION,SUO,0,0,,YU,0,Passenger Other
144,2024/01/03,14:34,Wednesday,BATHURST STATION,SUAP,0,0,,BD,0,Assault / Patron Involved
145,2024/01/03,15:25,Wednesday,MAIN STREET STATION,SUUT,0,0,E,BD,5168,Unauthorized at Track Level
146,2024/01/03,15:26,Wednesday,EGLINTON STATION,MUIR,5,10,N,YU,5436,Injured or ill Customer (On Train) - Medical Aid Refused
147,2024/01/03,15:35,Wednesday,BLOOR STATION,SUO,0,0,N,YU,5856,Passenger Other
148,2024/01/03,15:37,Wednesday,YONGE BD STATION,SUO,0,0,W,BD,5259,Passenger Other
149,2024/01/03,15:57,Wednesday,FINCH WEST STATION,PUOPO,0,0,S,YU,5991,OPTO (COMMS) Train Door Monitoring
150,2024/01/03,16:08,Wednesday,YONGE BD STATION,SUDP,0,0,,BD,0,Disorderly Patron
151,2024/01/03,17:03,Wednesday,BLOOR STATION,MUIRS,0,0,S,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
152,2024/01/03,17:17,Wednesday,WELLESLEY STATION,MUIRS,0,0,,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
153,2024/01/03,17:23,Wednesday,LAWRENCE WEST STATION,SUO,0,0,S,YU,6016,Passenger Other
154,2024/01/03,17:26,Wednesday,VICTORIA PARK STATION,SUO,0,0,,BD,0,Passenger Other
155,2024/01/03,17:30,Wednesday,SHERBOURNE STATION,MUPR1,26,29,W,BD,5244,Priority One - Train in Contact With Person
156,2024/01/03,17:42,Wednesday,ROSEDALE STATION,PUSAC,12,15,N,YU,5621,Signals Axle Counter Block Failure
157,2024/01/03,17:52,Wednesday,WELLESLEY STATION,MUPAA,3,6,N,YU,6061,Passenger Assistance Alarm Activated - No Trouble Found
158,2024/01/03,18:02,Wednesday,DUFFERIN STATION,SUDP,0,0,,BD,0,Disorderly Patron
159,2024/01/03,18:19,Wednesday,LAWRENCE STATION,SUO,8,11,S,YU,5651,Passenger Other
160,2024/01/03,18:27,Wednesday,LAWRENCE STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
161,2024/01/03,19:16,Wednesday,FINCH STATION,SUDP,0,0,,YU,0,Disorderly Patron
162,2024/01/03,19:34,Wednesday,DONLANDS STATION,SUO,5,10,W,BD,5004,Passenger Other
163,2024/01/03,20:06,Wednesday,COXWELL STATION,PUMEL,0,0,,BD,0,Escalator/Elevator Incident
164,2024/01/03,20:10,Wednesday,VAUGHAN MC STATION,EUPI,43,47,S,YU,6111,Propulsion System
165,2024/01/03,20:29,Wednesday,OSGOODE STATION,SUDP,0,0,,YU,0,Disorderly Patron
166,2024/01/03,20:47,Wednesday,BAY STATION,SUO,4,9,W,BD,5141,Passenger Other
167,2024/01/03,20:52,Wednesday,EGLINTON STATION,PUOPO,4,9,S,YU,5906,OPTO (COMMS) Train Door Monitoring
168,2024/01/03,21:02,Wednesday,BLOOR STATION,SUO,6,11,N,YU,5636,Passenger Other
169,2024/01/03,21:05,Wednesday,YONGE BD STATION,SUO,0,0,E,BD,5043,Passenger Other
170,2024/01/03,21:32,Wednesday,DUNDAS STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
171,2024/01/03,22:00,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0,Miscellaneous Other
172,2024/01/03,23:01,Wednesday,MAIN STREET STATION,SUO,0,0,,BD,0,Passenger Other
173,2024/01/03,23:06,Wednesday,DUNDAS STATION,SUO,0,0,,YU,0,Passenger Other
174,2024/01/03,23:08,Wednesday,OSSINGTON STATION,MUIS,0,0,,BD,0,Injured or ill Customer (In Station) - Transported
175,2024/01/03,23:22,Wednesday,WARDEN STATION,SUDP,0,0,E,BD,5019,Disorderly Patron
176,2024/01/03,23:44,Wednesday,BLOOR STATION,SUAP,0,0,S,YU,0,Assault / Patron Involved
177,2024/01/03,00:13,Wednesday,FINCH STATION,SUO,0,0,,YU,0,Passenger Other
178,2024/01/03,00:20,Wednesday,WILSON STATION,PUOPO,0,0,N,YU,5906,OPTO (COMMS) Train Door Monitoring
179,2024/01/03,00:24,Wednesday,SHEPPARD WEST STATION,PUOPO,8,13,N,YU,5906,OPTO (COMMS) Train Door Monitoring
180,2024/01/03,01:23,Wednesday,PIONEER VILLAGE STATIO,PUMEL,0,0,,YU,0,Escalator/Elevator Incident
181,2024/01/03,01:35,Wednesday,KIPLING STATION,MUTO,3,0,E,BD,5299,Misc. Transportation Other - Employee Non-Chargeable
182,2024/01/03,01:36,Wednesday,COLLEGE STATION,MUIRS,0,0,S,YU,0,Injured or ill Customer (In Station) - Medical Aid Refused
183,2024/01/03,01:47,Wednesday,WILSON STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
184,2024/01/03,23:17,Wednesday,BESSARION STATION,MUPAA,0,0,E,SHP,6191,Passenger Assistance Alarm Activated - No Trouble Found
185,2024/01/04,02:04,Thursday,ROYAL YORK STATION,SUDP,0,0,,BD,0,Disorderly Patron
186,2024/01/04,02:39,Thursday,VAUGHAN MC STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
187,2024/01/04,06:13,Thursday,DAVISVILLE YARD,MUO,0,0,,YU,0,Miscellaneous Other
188,2024/01/04,06:16,Thursday,ST GEORGE YUS STATION,EUOPO,0,0,N,YU,5651,OPTO RC&S Non-Train Door Monitoring
189,2024/01/04,06:52,Thursday,NORTH YORK CTR STATION,PUOPO,5,8,S,YU,6046,OPTO (COMMS) Train Door Monitoring
190,2024/01/04,06:56,Thursday,BLOOR STATION,SUAP,0,0,S,YU,5456,Assault / Patron Involved
191,2024/01/04,06:57,Thursday,BLOOR STATION,MUIS,0,0,,YU,0,Injured or ill Customer (In Station) - Transported
192,2024/01/04,06:58,Thursday,SHEPPARD STATION,PUOPO,3,6,S,YU,6046,OPTO (COMMS) Train Door Monitoring
193,2024/01/04,07:28,Thursday,WOODBINE STATION,MUDD,4,7,W,BD,5203,Door Problems - Debris Related
194,2024/01/04,07:28,Thursday,MAIN STREET STATION,MUDD,0,0,W,BD,5203,Door Problems - Debris Related
195,2024/01/04,07:45,Thursday,FINCH STATION,PUOPO,0,0,S,YU,5836,OPTO (COMMS) Train Door Monitoring
196,2024/01/04,07:46,Thursday,SPADINA YUS STATION,SUDP,6,9,N,YU,5971,Disorderly Patron
197,2024/01/04,07:48,Thursday,NORTH YORK CTR STATION,PUOPO,7,10,S,YU,5836,OPTO (COMMS) Train Door Monitoring
198,2024/01/04,07:55,Thursday,MAIN STREET STATION,PUSSW,4,7,W,BD,5200,Track Switch Failure - Signal Related Problem
199,2024/01/04,07:55,Thursday,WOODBINE STATION,PUSSW,4,7,E,BD,5134,Track Switch Failure - Signal Related Problem
200,2024/01/04,08:03,Thursday,UNION STATION,PUSRA,9,12,N,YU,5571,Subway Radio System Fault
201,2024/01/04,08:05,Thursday,COLLEGE STATION,SUO,0,0,,YU,0,Passenger Other
202,2024/01/04,08:10,Thursday,KIPLING STATION,MUIRS,0,0,,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
203,2024/01/04,08:21,Thursday,LAWRENCE STATION,TUO,7,10,N,YU,5881,Transportation Department - Other
204,2024/01/04,08:31,Thursday,WARDEN STATION,SUDP,0,0,,BD,0,Disorderly Patron
205,2024/01/04,09:20,Thursday,ROSEDALE STATION,MUATC,5,8,N,YU,5976,ATC Project
206,2024/01/04,09:30,Thursday,DUNDAS WEST STATION,TUMVS,8,11,W,BD,5061,Operator Violated Signal
207,2024/01/04,09:40,Thursday,KEELE STATION,MUO,0,0,W,BD,5061,Miscellaneous Other
208,2024/01/04,09:59,Thursday,EGLINTON STATION,SUEAS,6,11,N,YU,5421,Emergency Alarm Station Activation
209,2024/01/04,10:16,Thursday,DUNDAS STATION,SUO,5,10,N,YU,5661,Passenger Other
210,2024/01/04,10:25,Thursday,DUNDAS WEST STATION,MUIRS,6,10,W,BD,5068,Injured or ill Customer (In Station) - Medical Aid Refused
211,2024/01/04,10:32,Thursday,YORK UNIVERSITY STATIO,PUOPO,6,10,S,YU,5811,OPTO (COMMS) Train Door Monitoring
212,2024/01/04,10:38,Thursday,WILSON STATION,PUOPO,3,6,N,YU,5906,OPTO (COMMS) Train Door Monitoring
213,2024/01/04,10:39,Thursday,FINCH WEST STATION,PUOPO,4,7,S,YU,5811,OPTO (COMMS) Train Door Monitoring
214,2024/01/04,10:42,Thursday,SHEPPARD WEST STATION,PUOPO,3,6,N,YU,5906,OPTO (COMMS) Train Door Monitoring
215,2024/01/04,10:59,Thursday,WARDEN STATION,MUDD,8,12,W,BD,5369,Door Problems - Debris Related
216,2024/01/04,11:10,Thursday,WARDEN STATION,PUSSW,92,96,E,BD,5093,Track Switch Failure - Signal Related Problem
217,2024/01/04,11:18,Thursday,SUMMERHILL STATION,SUO,3,8,S,YU,5956,Passenger Other
218,2024/01/04,11:35,Thursday,ROSEDALE STATION,PUSAC,4,9,N,YU,5676,Signals Axle Counter Block Failure
219,2024/01/04,12:00,Thursday,VICTORIA PARK STATION,MUPAA,0,0,E,BD,5096,Passenger Assistance Alarm Activated - No Trouble Found
220,2024/01/04,12:18,Thursday,LANSDOWNE STATION,SUO,0,0,,BD,0,Passenger Other
221,2024/01/04,12:26,Thursday,ISLINGTON STATION,MUSC,6,10,E,BD,5239,Miscellaneous Speed Control
222,2024/01/04,12:30,Thursday,ROSEDALE STATION,PUSAC,4,8,N,YU,5821,Signals Axle Counter Block Failure
223,2024/01/04,12:44,Thursday,ST PATRICK STATION,SUG,0,0,N,YU,5551,Graffiti / Scratchiti
224,2024/01/04,12:58,Thursday,ST GEORGE BD STATION,TUSC,0,0,W,BD,5271,Operator Overspeeding
225,2024/01/04,13:12,Thursday,LAWRENCE WEST STATION,SUUT,0,0,S,YU,5516,Unauthorized at Track Level
226,2024/01/04,13:27,Thursday,DUFFERIN STATION,MUNCA,0,0,,BD,0,MUNCA
227,2024/01/04,13:28,Thursday,UNION STATION,SUDP,0,0,N,YU,6016,Disorderly Patron
228,2024/01/04,13:58,Thursday,FINCH STATION,MUSAN,5,10,S,YU,5386,Unsanitary Vehicle
229,2024/01/04,14:20,Thursday,YORK MILLS STATION,MUI,17,22,S,YU,5581,Injured or ill Customer (On Train) - Transported
230,2024/01/04,14:27,Thursday,CHRISTIE STATION,SUO,0,0,W,BD,5310,Passenger Other
231,2024/01/04,15:01,Thursday,COXWELL STATION,MUIRS,0,0,,BD,0,Injured or ill Customer (In Station) - Medical Aid Refused
232,2024/01/04,15:23,Thursday,HIGH PARK STATION,SUDP,3,7,W,BD,5203,Disorderly Patron
